indicator_code,disease_name,country_code,spatial_dim_type,year,numeric_value,low,high
TB_e_mort_exc_tbhiv_num,Tuberculosis,WPR,REGION,2011,237000.0,226000.0,249000.0
TB_e_mort_exc_tbhiv_num,Tuberculosis,SLB,COUNTRY,2018,220.0,150.0,310.0
TB_e_mort_exc_tbhiv_num,Tuberculosis,MLI,COUNTRY,2003,1900.0,1000.0,3100.0
TB_e_mort_exc_tbhiv_num,Tuberculosis,LBY,COUNTRY,2024,910.0,430.0,1600.0
TB_e_mort_exc_tbhiv_num,Tuberculosis,WB_LI,WORLDBANKINCOMEGROUP,2024,168000.0,129000.0,211000.0
TB_e_mort_exc_tbhiv_num,Tuberculosis,MKD,COUNTRY,2002,79.0,75.0,84.0
TB_e_mort_exc_tbhiv_num,Tuberculosis,GBR,COUNTRY,2004,450.0,450.0,460.0
TB_e_mort_exc_tbhiv_num,Tuberculosis,KOR,COUNTRY,2018,2100.0,2000.0,2200.0
TB_e_mort_exc_tbhiv_num,Tuberculosis,EGY,COUNTRY,2007,900.0,770.0,1000.0
TB_e_mort_exc_tbhiv_num,Tuberculosis,LKA,COUNTRY,2004,1800.0,1200.0,2600.0
TB_e_mort_exc_tbhiv_num,Tuberculosis,COD,COUNTRY,2024,59000.0,27000.0,103000.0
TB_e_mort_exc_tbhiv_num,Tuberculosis,QAT,COUNTRY,2013,6.0,5.0,7.0
TB_e_mort_exc_tbhiv_num,Tuberculosis,ITA,COUNTRY,2013,270.0,270.0,270.0
TB_e_mort_exc_tbhiv_num,Tuberculosis,PAK,COUNTRY,2010,53000.0,45000.0,60000.0
TB_e_mort_exc_tbhiv_num,Tuberculosis,MUS,COUNTRY,2017,21.0,21.0,22.0
TB_e_mort_exc_tbhiv_num,Tuberculosis,STP,COUNTRY,2006,120.0,79.0,160.0
TB_e_mort_exc_tbhiv_num,Tuberculosis,MKD,COUNTRY,2003,86.0,82.0,90.0
TB_e_mort_exc_tbhiv_num,Tuberculosis,MKD,COUNTRY,2015,18.0,18.0,19.0
TB_e_mort_exc_tbhiv_num,Tuberculosis,GEO,COUNTRY,2013,210.0,190.0,230.0
TB_e_mort_exc_tbhiv_num,Tuberculosis,TJK,COUNTRY,2001,950.0,880.0,1000.0
TB_e_mort_exc_tbhiv_num,Tuberculosis,BWA,COUNTRY,2012,860.0,540.0,1200.0
TB_e_mort_exc_tbhiv_num,Tuberculosis,NOR,COUNTRY,2018,8.0,8.0,9.0
TB_e_mort_exc_tbhiv_num,Tuberculosis,OMN,COUNTRY,2010,15.0,12.0,19.0
TB_e_mort_exc_tbhiv_num,Tuberculosis,EST,COUNTRY,2003,140.0,99.0,190.0
TB_e_mort_exc_tbhiv_num,Tuberculosis,GTM,COUNTRY,2022,320.0,250.0,400.0
TB_e_mort_exc_tbhiv_num,Tuberculosis,VNM,COUNTRY,2001,31000.0,18000.0,47000.0
TB_e_mort_exc_tbhiv_num,Tuberculosis,BGD,COUNTRY,2016,62000.0,40000.0,89000.0
TB_e_mort_exc_tbhiv_num,Tuberculosis,ERI,COUNTRY,2013,1800.0,1200.0,2400.0
TB_e_mort_exc_tbhiv_num,Tuberculosis,ZWE,COUNTRY,2011,1600.0,1000.0,2300.0
TB_e_mort_exc_tbhiv_num,Tuberculosis,MOZ,COUNTRY,2015,8900.0,5100.0,14000.0
TB_e_mort_exc_tbhiv_num,Tuberculosis,MDA,COUNTRY,2023,190.0,160.0,230.0
TB_e_mort_exc_tbhiv_num,Tuberculosis,SAU,COUNTRY,2002,420.0,340.0,500.0
TB_e_mort_exc_tbhiv_num,Tuberculosis,CMR,COUNTRY,2023,5600.0,3600.0,7900.0
TB_e_mort_exc_tbhiv_num,Tuberculosis,MNG,COUNTRY,2024,370.0,330.0,420.0
TB_e_mort_exc_tbhiv_num,Tuberculosis,GRC,COUNTRY,2008,86.0,83.0,89.0
TB_e_mort_exc_tbhiv_num,Tuberculosis,KAZ,COUNTRY,2024,340.0,220.0,480.0
TB_e_mort_exc_tbhiv_num,Tuberculosis,LBN,COUNTRY,2007,140.0,98.0,190.0
TB_e_mort_exc_tbhiv_num,Tuberculosis,GRC,COUNTRY,2012,110.0,110.0,120.0
TB_e_mort_exc_tbhiv_num,Tuberculosis,CZE,COUNTRY,2012,30.0,30.0,31.0
TB_e_mort_exc_tbhiv_num,Tuberculosis,VEN,COUNTRY,2022,650.0,440.0,900.0
TB_e_mort_exc_tbhiv_num,Tuberculosis,DJI,COUNTRY,2015,1800.0,1300.0,2500.0
TB_e_mort_exc_tbhiv_num,Tuberculosis,CHN,COUNTRY,2007,61000.0,55000.0,68000.0
TB_e_mort_exc_tbhiv_num,Tuberculosis,CPV,COUNTRY,2009,32.0,27.0,37.0
TB_e_mort_exc_tbhiv_num,Tuberculosis,AFG,COUNTRY,2004,16000.0,11000.0,21000.0
TB_e_mort_exc_tbhiv_num,Tuberculosis,FRA,COUNTRY,2017,440.0,410.0,460.0
TB_e_mort_exc_tbhiv_num,Tuberculosis,OMN,COUNTRY,2003,17.0,14.0,21.0
TB_e_mort_exc_tbhiv_num,Tuberculosis,OMN,COUNTRY,2005,16.0,13.0,20.0
TB_e_mort_exc_tbhiv_num,Tuberculosis,NZL,COUNTRY,2007,16.0,16.0,16.0
TB_e_mort_exc_tbhiv_num,Tuberculosis,IND,COUNTRY,2007,560000.0,420000.0,720000.0
TB_e_mort_exc_tbhiv_num,Tuberculosis,ZAF,COUNTRY,2022,24000.0,23000.0,25000.0
TB_e_mort_exc_tbhiv_num,Tuberculosis,MWI,COUNTRY,2017,2900.0,1500.0,4900.0
TB_e_mort_exc_tbhiv_num,Tuberculosis,DOM,COUNTRY,2020,220.0,130.0,340.0
TB_e_mort_exc_tbhiv_num,Tuberculosis,THA,COUNTRY,2010,8700.0,5300.0,13000.0
TB_e_mort_exc_tbhiv_num,Tuberculosis,JOR,COUNTRY,2000,30.0,24.0,37.0
TB_e_mort_exc_tbhiv_num,Tuberculosis,MDV,COUNTRY,2017,11.0,10.0,12.0
TB_e_mort_exc_tbhiv_num,Tuberculosis,FRA,COUNTRY,2021,300.0,290.0,320.0
TB_e_mort_exc_tbhiv_num,Tuberculosis,KIR,COUNTRY,2013,45.0,39.0,52.0
TB_e_mort_exc_tbhiv_num,Tuberculosis,KIR,COUNTRY,2022,48.0,40.0,56.0
TB_e_mort_exc_tbhiv_num,Tuberculosis,WB_LMI,WORLDBANKINCOMEGROUP,2005,1150000.0,979000.0,1340000.0
TB_e_mort_exc_tbhiv_num,Tuberculosis,AUT,COUNTRY,2023,37.0,36.0,38.0
TB_e_mort_exc_tbhiv_num,Tuberculosis,MEX,COUNTRY,2016,2200.0,2200.0,2200.0
TB_e_mort_exc_tbhiv_num,Tuberculosis,TTO,COUNTRY,2006,40.0,39.0,40.0
TB_e_mort_exc_tbhiv_num,Tuberculosis,ZAF,COUNTRY,2023,25000.0,23000.0,26000.0
TB_e_mort_exc_tbhiv_num,Tuberculosis,TKM,COUNTRY,2007,970.0,790.0,1200.0
TB_e_mort_exc_tbhiv_num,Tuberculosis,CUB,COUNTRY,2017,39.0,39.0,40.0
