indicator_code,country_code,spatial_dim_type,year,sex_code,numeric_value,low,high
WHOSIS_000001,SAU,COUNTRY,2005,SEX_BTSX,71.81634573,71.49966575,72.16758942
WHOSIS_000001,CYP,COUNTRY,2018,SEX_BTSX,82.05668584,81.86706744,82.32812046
WHOSIS_000001,LBN,COUNTRY,2012,SEX_MLE,75.63281379,75.34883344,76.03139713
WHOSIS_000001,FIN,COUNTRY,2006,SEX_FMLE,82.61911452,82.5947542,82.72426484
WHOSIS_000001,KIR,COUNTRY,2000,SEX_BTSX,60.08437065,59.38583116,60.92260551
WHOSIS_000001,BHS,COUNTRY,2000,SEX_BTSX,70.96744554,70.73962374,71.29247936
WHOSIS_000001,TCD,COUNTRY,2005,SEX_BTSX,52.94619682,52.07675147,53.91420046
WHOSIS_000001,GHA,COUNTRY,2011,SEX_FMLE,65.03574342,64.48470383,65.68841533
WHOSIS_000001,IRQ,COUNTRY,2020,SEX_FMLE,73.82694404,73.33895581,74.43361995
WHOSIS_000001,MDV,COUNTRY,2014,SEX_MLE,75.27055695,74.91112149,75.56528863
WHOSIS_000001,TUN,COUNTRY,2015,SEX_BTSX,76.78627015,76.03891006,77.66242307
WHOSIS_000001,ECU,COUNTRY,2006,SEX_BTSX,73.97387898,73.58290914,74.46321165
WHOSIS_000001,LAO,COUNTRY,2019,SEX_MLE,66.14369168,65.22442964,67.08188243
WHOSIS_000001,ARM,COUNTRY,2005,SEX_BTSX,72.0754129,71.88869913,72.33547793
WHOSIS_000001,FIN,COUNTRY,2003,SEX_BTSX,78.41020069,78.39149193,78.50792303
WHOSIS_000001,TJK,COUNTRY,2001,SEX_FMLE,68.47260221,68.04054709,69.10466184
WHOSIS_000001,PSE,COUNTRY,2020,SEX_BTSX,75.1341365,74.75938226,75.6402484
WHOSIS_000001,LVA,COUNTRY,2014,SEX_BTSX,74.4358747,74.35273191,74.57253777
WHOSIS_000001,ESP,COUNTRY,2020,SEX_BTSX,81.92498871,81.86002774,81.98994969
WHOSIS_000001,MDA,COUNTRY,2004,SEX_FMLE,70.77972014,70.60831441,70.98822919
WHOSIS_000001,TJK,COUNTRY,2006,SEX_BTSX,68.48925177,67.95063657,69.07344766
WHOSIS_000001,NOR,COUNTRY,2006,SEX_MLE,78.07766829,78.05260697,78.1661026
WHOSIS_000001,GHA,COUNTRY,2001,SEX_BTSX,59.15248936,58.51288202,59.8548617
WHOSIS_000001,CRI,COUNTRY,2005,SEX_BTSX,79.72199388,79.62558484,79.86993561
WHOSIS_000001,WB_UMI,WORLDBANKINCOMEGROUP,2007,SEX_MLE,69.22495907,68.89058391,69.56927799
WHOSIS_000001,ALB,COUNTRY,2015,SEX_MLE,76.02285855,75.58536654,76.46885826
WHOSIS_000001,MDA,COUNTRY,2017,SEX_BTSX,72.85856435,72.68337007,73.11975893
WHOSIS_000001,ECU,COUNTRY,2013,SEX_MLE,73.79505647,73.38966545,74.22109519
WHOSIS_000001,SLE,COUNTRY,2009,SEX_BTSX,54.19029086,53.29701047,54.96377407
WHOSIS_000001,AFG,COUNTRY,2011,SEX_MLE,59.12294823,58.19134641,60.41071048
WHOSIS_000001,TUR,COUNTRY,2010,SEX_FMLE,79.359621,78.98767435,79.81693149
WHOSIS_000001,MUS,COUNTRY,2006,SEX_BTSX,72.37604294,72.24209595,72.5669657
WHOSIS_000001,QAT,COUNTRY,2020,SEX_FMLE,78.77670576,78.28737608,79.29552299
WHOSIS_000001,PRY,COUNTRY,2020,SEX_BTSX,75.24817035,74.60383357,75.9941021
WHOSIS_000001,ZMB,COUNTRY,2003,SEX_BTSX,47.10240747,45.92576293,48.24656162
WHOSIS_000001,MYS,COUNTRY,2011,SEX_MLE,72.27760523,71.92911476,72.63758771
WHOSIS_000001,MDA,COUNTRY,2019,SEX_BTSX,73.32010877,73.0076534,73.6548189
WHOSIS_000001,LCA,COUNTRY,2015,SEX_MLE,72.83655011,72.44258634,73.25478934
WHOSIS_000001,PNG,COUNTRY,2009,SEX_FMLE,65.57843482,64.92452274,66.28974334
WHOSIS_000001,JOR,COUNTRY,2005,SEX_MLE,75.82405784,75.20220634,76.32063659
WHOSIS_000001,SVK,COUNTRY,2010,SEX_FMLE,79.13593679,79.09538878,79.2607711
WHOSIS_000001,JOR,COUNTRY,2021,SEX_FMLE,76.98049856,76.66106334,77.50886088
WHOSIS_000001,LVA,COUNTRY,2007,SEX_MLE,65.23337667,65.13652056,65.36322686
WHOSIS_000001,VUT,COUNTRY,2001,SEX_FMLE,68.57930636,67.93188093,69.22693985
WHOSIS_000001,JPN,COUNTRY,2004,SEX_FMLE,85.58433875,85.53468229,85.63399521
WHOSIS_000001,TGO,COUNTRY,2001,SEX_BTSX,56.11218609,55.31391184,56.98978809
WHOSIS_000001,LAO,COUNTRY,2005,SEX_MLE,59.31529986,58.60120665,60.07387098
WHOSIS_000001,LBN,COUNTRY,2002,SEX_FMLE,77.8255064,77.47669637,78.23316744
WHOSIS_000001,MEX,COUNTRY,2015,SEX_BTSX,75.93967708,75.8024769,76.13344905
WHOSIS_000001,TUN,COUNTRY,2005,SEX_MLE,72.9385159,72.25913272,73.76746221
WHOSIS_000001,LCA,COUNTRY,2013,SEX_MLE,72.78059765,72.49127256,73.11918199
WHOSIS_000001,NGA,COUNTRY,2007,SEX_MLE,56.87829819,55.89871738,57.85046487
WHOSIS_000001,SVK,COUNTRY,2007,SEX_BTSX,74.470327,74.40770417,74.59061818
WHOSIS_000001,IDN,COUNTRY,2018,SEX_FMLE,72.99956688,72.40489389,73.77418036
WHOSIS_000001,MWI,COUNTRY,2006,SEX_MLE,49.7118822,48.9121624,50.66189074
WHOSIS_000001,CMR,COUNTRY,2016,SEX_BTSX,59.79056297,58.97929183,60.8092333
WHOSIS_000001,KOR,COUNTRY,2007,SEX_BTSX,79.37954426,79.31513012,79.44395841
WHOSIS_000001,ARE,COUNTRY,2006,SEX_FMLE,80.46240936,80.13613118,80.88665036
WHOSIS_000001,ITA,COUNTRY,2013,SEX_BTSX,82.2878749,82.23107797,82.34467183
WHOSIS_000001,SLB,COUNTRY,2007,SEX_MLE,61.51567102,60.5705945,62.48000987
WHOSIS_000001,THA,COUNTRY,2009,SEX_FMLE,78.2601812,77.89232891,78.70417154
WHOSIS_000001,LBY,COUNTRY,2002,SEX_BTSX,73.4501765,73.00093879,73.88257951
WHOSIS_000001,DZA,COUNTRY,2018,SEX_MLE,76.12985521,75.76271261,76.65547433
WHOSIS_000001,POL,COUNTRY,2014,SEX_MLE,73.57068412,73.56946281,73.63070013
WHOSIS_000001,COM,COUNTRY,2020,SEX_BTSX,68.30703432,67.50125427,69.29805597
WHOSIS_000001,LBN,COUNTRY,2001,SEX_FMLE,77.40610793,77.11699925,77.80452866
WHOSIS_000001,JAM,COUNTRY,2015,SEX_FMLE,75.00771057,74.74728193,75.37452135
WHOSIS_000001,SUR,COUNTRY,2011,SEX_BTSX,73.11587921,72.84541114,73.45403978
WHOSIS_000001,MAR,COUNTRY,2021,SEX_MLE,71.5359536,70.99075434,72.16472324
WHOSIS_000001,ALB,COUNTRY,2001,SEX_FMLE,79.2466615,78.90150793,79.67014844
WHOSIS_000001,TTO,COUNTRY,2003,SEX_MLE,68.02078181,67.68979371,68.35409763
WHOSIS_000001,COL,COUNTRY,2005,SEX_BTSX,74.43998835,74.14655777,74.82547936
WHOSIS_000001,AUS,COUNTRY,2020,SEX_MLE,81.50154912,81.48005404,81.58986452
